"전출지별","전입지별","이동규모별",2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
"전국","전국","계",4504568,4656926,4760658,4636367,4569922,4728313,4733922,5183403,5004115,4412470
"전국","전국","1인",3047034,3166224,3250916,3232049,3237035,3388742,3480151,3828752,3799586,3443581
"전국","전국","2인",574728,589174,601946,577741,557290,573224,551908,600297,565374,472813
"전국","전국","3인",434759,444751,450984,420889,397237,396829,368640,395936,343028,273609
"전국","전국","4인",350763,356798,358975,319836,299396,293199,266033,288284,238465,179129
"전국","전국","5인",80450,82144,80498,70674,64889,63318,55987,58877,48634,36536
"전국","서울특별시","계",937025,965125,978123,958536,948896,965717,974176,1076183,999614,888184
"전국","서울특별시","1인",642308,660741,670285,674241,679853,716868,735006,811227,774163,715574
"전국","서울특별시","2인",117726,118638,121093,115132,110375,107346,103861,114685,102441,82199
"전국","서울특별시","3인",87667,91521,92760,85843,80757,73844,71527,79037,65474,49121
"전국","서울특별시","4인",71247,74729,75521,66890,62996,54764,52293,58448,47145,33821
"전국","서울특별시","5인",14969,15954,15159,13485,12258,10586,9545,10723,8752,6254
"전국","부산광역시","계",288276,298649,309036,291892,289720,277147,280809,328364,312025,276635
"전국","부산광역시","1인",192682,203982,208777,205004,210619,202939,210093,240869,239977,216335
"전국","부산광역시","2인",37351,37872,39886,36691,34757,33025,32327,38963,34914,29601
"전국","부산광역시","3인",29283,28690,30808,26393,23772,22242,20831,26092,20613,17423
"전국","부산광역시","4인",22984,22148,23301,18849,16272,15165,14126,18257,13532,10845
"전국","부산광역시","5인",4920,4779,5116,4001,3519,3125,2825,3535,2516,2043
"전국","대구광역시","계",205043,208264,212533,201408,200008,205363,203707,230471,208231,185987
"전국","대구광역시","1인",132720,137785,142859,137421,138076,145272,146365,168597,155926,142867
"전국","대구광역시","2인",26963,26835,27024,24874,24793,25051,24938,26920,23930,19620
"전국","대구광역시","3인",22108,21499,21294,19886,19089,18303,16967,18440,15223,12798
"전국","대구광역시","4인",18438,17504,17092,15501,14667,13474,12503,13576,10827,8924
"전국","대구광역시","5인",3945,3817,3518,3122,2845,2728,2472,2543,2011,1559
"전국","인천광역시","계",266839,264392,275819,266125,254967,270597,272124,289203,290820,267015
"전국","인천광역시","1인",170618,170938,177385,176906,175464,186069,193895,207235,213359,196702
"전국","인천광역시","2인",35852,35633,37743,35761,32984,35292,34241,35780,35874,33075
"전국","인천광역시","3인",30063,28773,30480,27540,24136,25817,23381,24187,22767,20584
"전국","인천광역시","4인",23869,22891,23616,20301,17551,18617,16480,17700,15131,13529
"전국","인천광역시","5인",5290,5068,5447,4597,3903,3981,3403,3622,3105,2610
"전국","광주광역시","계",141148,152061,144192,137762,135696,145539,147871,155111,150298,131466
"전국","광주광역시","1인",98037,106311,102885,98471,97796,106498,110782,116933,115907,102815
"전국","광주광역시","2인",17727,18727,17630,17072,16695,17773,17117,17545,16516,13961
