"행정구역별","성별","연령별","시점","1인가구","초등학교","중학교","고등학교","대학(4년제미만)","대학교(4년제이상)","대학원","안받았음(미취학 포함)",
"전국","계","합계","2015년","5211133","818174","515129","1386066","528385","1246832","229188","487359",
"전국","계","20세 미만","2015년","58636","6","1174","15689","11101","30666","","",
"전국","계","20~24","2015년","358138","","1783","46774","67761","236463","5312","45",
"전국","계","25~29","2015년","461560","","2272","72783","88686","258745","38981","93",
"전국","계","30~34","2015년","453910","","4337","106004","98487","202108","42888","86",
"전국","계","35~39","2015년","369337","","6302","123158","76740","130958","32077","102",
"전국","계","40~44","2015년","377935","730","12976","173448","60170","100989","29447","175",
"전국","계","45~49","2015년","381607","8259","27883","194329","41967","84800","23940","429",
"전국","계","50~54","2015년","412320","31476","64621","193035","31685","69932","20619","952",
"전국","계","55~59","2015년","448594","73937","106909","176710","22777","49048","16811","2402",
"전국","계","60~64","2015년","375358","105683","96718","109934","12148","28249","8811","13815",
"전국","계","65~69","2015년","359916","139890","75783","74519","7442","20727","4729","36826",
"전국","계","70~74","2015년","374541","164879","54466","46237","4203","15115","2498","87143",
"전국","계","75~79","2015년","369584","156632","34781","29690","2799","10386","1882","133414",
"전국","계","80~84","2015년","267346","96010","17920","17440","1498","6320","781","127377",
"전국","계","85세 이상","2015년","142351","40672","7204","6316","921","2326","412","84500",
"전국","남자","합계","2015년","2315038","174134","207355","745105","291166","734285","125201","37792",
"전국","남자","20세 미만","2015년","29001","","606","8057","4982","15356","","",
"전국","남자","20~24","2015년","165805","","825","22072","27570","113562","1744","32",
"전국","남자","25~29","2015년","259821","","1259","41648","47343","149155","20370","46",
"전국","남자","30~34","2015년","279490","","2796","64096","59418","129345","23781","54",
"전국","남자","35~39","2015년","230558","","4418","76733","47682","84838","16821","66",
"전국","남자","40~44","2015년","235021","504","9395","107502","37062","64395","16029","134",
"전국","남자","45~49","2015년","225217","5060","16745","113041","24275","53198","12605","293",
"전국","남자","50~54","2015년","223684","15775","31926","101243","17619","44720","11851","550",
"전국","남자","55~59","2015년","209317","28105","42992","83488","12443","31045","10135","1109",
"전국","남자","60~64","2015년","143965","28555","34216","50602","5624","16306","5095","3567",
"전국","남자","65~69","2015년","108365","27118","24737","34024","3001","11350","2936","5199",
"전국","남자","70~74","2015년","84769","26389","18085","20792","1852","8733","1670","7248",
"전국","남자","75~79","2015년","62524","22014","10779","12978","1239","6508","1288","7718",
"전국","남자","80~84","2015년","37553","13253","5561","6817","632","4164","563","6563",
"전국","남자","85세 이상","2015년","19948","7361","3015","2012","424","1610","313","5213",
"전국","여자","합계","2015년","2896095","644040","307774","640961","237219","512547","103987","449567",
"전국","여자","20세 미만","2015년","29635","6","568","7632","6119","15310","","",
"전국","여자","20~24","2015년","192333","","958","24702","40191","122901","3568","13",
"전국","여자","25~29","2015년","201739","","1013","31135","41343","109590","18611","47",
"전국","여자","30~34","2015년","174420","","1541","41908","39069","72763","19107","32",
"전국","여자","35~39","2015년","138779","","1884","46425","29058","46120","15256","36",
"전국","여자","40~44","2015년","142914","226","3581","65946","23108","36594","13418","41",
"전국","여자","45~49","2015년","156390","3199","11138","81288","17692","31602","11335","136",
"전국","여자","50~54","2015년","188636","15701","32695","91792","14066","25212","8768","402",
"전국","여자","55~59","2015년","239277","45832","63917","93222","10334","18003","6676","1293",
"전국","여자","60~64","2015년","231393","77128","62502","59332","6524","11943","3716","10248",
"전국","여자","65~69","2015년","251551","112772","51046","40495","4441","9377","1793","31627",
"전국","여자","70~74","2015년","289772","138490","36381","25445","2351","6382","828","79895",
"전국","여자","75~79","2015년","307060","134618","24002","16712","1560","3878","594","125696",
"전국","여자","80~84","2015년","229793","82757","12359","10623","866","2156","218","120814",
"전국","여자","85세 이상","2015년","122403","33311","4189","4304","497","716","99","79287",
"동부","계","합계","2015년","4123510","542309","410433","1167342","459893","1110577","203570","229386",
"동부","계","20세 미만","2015년","51029","6","1010","13716","9197","27100","","",
"동부","계","20~24","2015년","320381","","1585","42117","60023","211707","4925","24",
"동부","계","25~29","2015년","422092","","2077","64761","80316","238674","36184","80",
"동부","계","30~34","2015년","410584","","3778","93810","88091","185252","39577","76",
"동부","계","35~39","2015년","328246","","5518","106717","67668","118714","29552","77",
"동부","계","40~44","2015년","328543","555","10972","147862","52272","90239","26495","148",
"동부","계","45~49","2015년","320339","6151","22902","161855","35152","73216","20797","266",
"동부","계","50~54","2015년","333392","23770","51545","156949","25717","57630","17095","686",
"동부","계","55~59","2015년","354301","53756","84320","143776","17995","39314","13523","1617",
