"행정구역별","성별","연령별","시점","1인가구","미혼","배우자 있음","사별","이혼",
"전국","계","합계","2015년","5211133","2284364","585207","1531885","809677",
"전국","계","20세 미만","2015년","58636","58618","18","","",
"전국","계","20~24","2015년","358138","357064","814","28","232",
"전국","계","25~29","2015년","461560","451947","7841","69","1703",
"전국","계","30~34","2015년","453910","415323","28643","360","9584",
"전국","계","35~39","2015년","369337","302627","39566","929","26215",
"전국","계","40~44","2015년","377935","253106","57674","2972","64183",
"전국","계","45~49","2015년","381607","174726","82607","11691","112583",
"전국","계","50~54","2015년","412320","113641","102253","38448","157978",
"전국","계","55~59","2015년","448594","75572","103167","97562","172293",
"전국","계","60~64","2015년","375358","38030","66175","153501","117652",
"전국","계","65~69","2015년","359916","20644","40644","221915","76713",
"전국","계","70~74","2015년","374541","11960","26813","293294","42474",
"전국","계","75~79","2015년","369584","6362","17153","326255","19814",
"전국","계","80~84","2015년","267346","3302","8680","248956","6408",
"전국","계","85세 이상","2015년","142351","1442","3159","135905","1845",
"전국","남자","합계","2015년","2315038","1339993","352957","217376","404712",
"전국","남자","20세 미만","2015년","29001","28997","4","","",
"전국","남자","20~24","2015년","165805","165317","401","11","76",
"전국","남자","25~29","2015년","259821","255482","3761","15","563",
"전국","남자","30~34","2015년","279490","258269","17169","151","3901",
"전국","남자","35~39","2015년","230558","191541","26924","407","11686",
"전국","남자","40~44","2015년","235021","164954","39643","960","29464",
"전국","남자","45~49","2015년","225217","116214","53035","2632","53336",
"전국","남자","50~54","2015년","223684","75703","62186","7321","78474",
"전국","남자","55~59","2015년","209317","46591","59441","16809","86476",
"전국","남자","60~64","2015년","143965","20352","36840","24992","61781",
"전국","남자","65~69","2015년","108365","9276","23739","33202","42148",
"전국","남자","70~74","2015년","84769","4666","14707","42291","23105",
"전국","남자","75~79","2015년","62524","1816","9014","41645","10049",
"전국","남자","80~84","2015년","37553","625","4370","29692","2866",
"전국","남자","85세 이상","2015년","19948","190","1723","17248","787",
"전국","여자","합계","2015년","2896095","944371","232250","1314509","404965",
"전국","여자","20세 미만","2015년","29635","29621","14","","",
"전국","여자","20~24","2015년","192333","191747","413","17","156",
