"행정구역별(시군구)","성별","연령","시점","1인가구","주택_계","주택_단독주택","주택_아파트","주택_연립주택","주택_다세대 주택","주택_비거주용건물내 주택","주택이외의 거처_계",
"전국","계","합계","2015 년","5203440","4783231","2710775","1433666","85109","432990","120691","420209",
"전국","계","합계","2016 년","5397615","4921788","2742516","1504073","90023","468830","116346","475827",
"전국","계","합계","2017 년","5618677","5088437","2765198","1605878","93832","500929","122600","530240",
"전국","계","합계","2018 년","5848594","5269889","2762080","1750760","98323","538112","120614","578705",
"전국","계","합계","2019 년","6147516","5521438","2789981","1926935","104497","575578","124447","626078",
"전국","계","합계","2020 년","6643354","5920184","2921200","2124418","114584","635537","124445","723170",
"전국","계","합계","2021 년","7165788","6356409","3024891","2373162","126862","699190","132304","809379",
"전국","계","20세 미만","2015 년","58020","54850","41580","7377","461","3199","2233","3170",
"전국","계","20세 미만","2016 년","62639","58457","45445","7047","465","3004","2496","4182",
"전국","계","20세 미만","2017 년","61058","57155","43699","7634","454","2894","2474","3903",
"전국","계","20세 미만","2018 년","58154","54156","41418","7226","374","2891","2247","3998",
"전국","계","20세 미만","2019 년","59415","55303","41804","7728","370","2961","2440","4112",
"전국","계","20세 미만","2020 년","76202","71445","58607","6793","412","2894","2739","4757",
"전국","계","20세 미만","2021 년","54052","49615","37329","7251","503","2631","1901","4437",
"전국","계","20~24","2015 년","367152","334604","247024","42240","3240","28363","13737","32548",
"전국","계","20~24","2016 년","391628","355457","266657","42486","3148","28370","14796","36171",
"전국","계","20~24","2017 년","393503","351953","259873","43765","3012","29512","15791","41550",
"전국","계","20~24","2018 년","402476","356110","259517","46965","3016","31367","15245","46366",
"전국","계","20~24","2019 년","431750","379899","272061","53703","3377","35006","15752","51851",
"전국","계","20~24","2020 년","492331","428453","307676","60250","4181","40629","15717","63878",
"전국","계","20~24","2021 년","492845","421682","288357","68106","4872","44322","16025","71163",
"전국","계","25~29","2015 년","519871","446507","272531","97124","6299","53063","17490","73364",
"전국","계","25~29","2016 년","537780","453968","272832","101157","6454","56446","17079","83812",
"전국","계","25~29","2017 년","568288","470488","278735","105683","6541","61670","17859","97800",
"전국","계","25~29","2018 년","617468","503640","288602","121838","6933","67940","18327","113828",
"전국","계","25~29","2019 년","685831","554957","306609","144470","7772","76458","19648","130874",
"전국","계","25~29","2020 년","774580","615589","328831","167954","9673","90349","18782","158991",
"전국","계","25~29","2021 년","870707","687389","356889","195378","11334","103172","20616","183318",
"전국","계","30~34","2015 년","533193","465124","240876","145135","7280","57979","13854","68069",
"전국","계","30~34","2016 년","519528","445520","225825","141073","7112","59173","12337","74008",
"전국","계","30~34","2017 년","516827","435189","216323","139712","6935","60096","12123","81638",
"전국","계","30~34","2018 년","522405","433695","205996","147458","7070","61610","11561","88710",
"전국","계","30~34","2019 년","554883","456809","207116","165531","7429","64857","11876","98074",
"전국","계","30~34","2020 년","618401","501651","219122","188446","8383","73765","11935","116750",
"전국","계","30~34","2021 년","704883","568498","240464","219972","9927","84879","13256","136385",
"전국","계","35~39","2015 년","420129","374699","182499","133039","6302","43238","9621","45430",
"전국","계","35~39","2016 년","429109","377056","180319","134306","6396","47104","8931","52053",
"전국","계","35~39","2017 년","451634","392364","182704","143565","6672","50038","9385","59270",
"전국","계","35~39","2018 년","470332","405045","178753","156830","6893","53419","9150","65287",
"전국","계","35~39","2019 년","480733","411636","172071","168796","7147","54694","8928","69097",
"전국","계","35~39","2020 년","497117","420885","168144","179934","7508","56732","8567","76232",
"전국","계","35~39","2021 년","521151","439231","171731","191908","8046","58695","8851","81920",
"전국","계","40~44","2015 년","428605","387501","193979","137900","6509","39366","9747","41104",
"전국","계","40~44","2016 년","408807","364842","177501","132442","6393","40285","8221","43965",
"전국","계","40~44","2017 년","407777","360969","169691","135271","6349","41329","8329","46808",
"전국","계","40~44","2018 년","400122","352243","157275","139670","6219","41472","7607","47879",
"전국","계","40~44","2019 년","401653","352099","149744","146352","6360","42066","7577","49554",
"전국","계","40~44","2020 년","427295","371103","152516","158879","6828","45373","7507","56192",
"전국","계","40~44","2021 년","467949","405104","162005","177530","7761","49651","8157","62845",
