"가구원수별","가계수지항목별",2019.1/4,2019.1/4,2019.1/4,2019.2/4,2019.2/4,2019.2/4,2019.3/4,2019.3/4,2019.3/4,2019.4/4,2019.4/4,2019.4/4,2020.1/4,2020.1/4,2020.1/4,2020.2/4,2020.2/4,2020.2/4,2020.3/4,2020.3/4,2020.3/4,2020.4/4,2020.4/4,2020.4/4,2021.1/4,2021.1/4,2021.1/4,2021.2/4,2021.2/4,2021.2/4,2021.3/4,2021.3/4,2021.3/4,2021.4/4,2021.4/4,2021.4/4,2022.1/4,2022.1/4,2022.1/4,2022.2/4,2022.2/4,2022.2/4,2022.3/4,2022.3/4,2022.3/4,2022.4/4,2022.4/4,2022.4/4
"가구원수별","가계수지항목별",전체가구,근로자가구,근로자외가구,전체가구,근로자가구,근로자외가구,전체가구,근로자가구,근로자외가구,전체가구,근로자가구,근로자외가구,전체가구,근로자가구,근로자외가구,전체가구,근로자가구,근로자외가구,전체가구,근로자가구,근로자외가구,전체가구,근로자가구,근로자외가구,전체가구,근로자가구,근로자외가구,전체가구,근로자가구,근로자외가구,전체가구,근로자가구,근로자외가구,전체가구,근로자가구,근로자외가구,전체가구,근로자가구,근로자외가구,전체가구,근로자가구,근로자외가구,전체가구,근로자가구,근로자외가구,전체가구,근로자가구,근로자외가구
"전체 평균","가구원수 (명)",2.42,2.61,2.18,2.41,2.56,2.19,2.42,2.56,2.22,2.42,2.55,2.22,2.40,2.53,2.22,2.40,2.52,2.25,2.40,2.52,2.24,2.39,2.49,2.25,2.37,2.49,2.22,2.37,2.48,2.21,2.37,2.47,2.22,2.36,2.47,2.22,2.33,2.44,2.18,2.33,2.43,2.18,2.33,2.43,2.17,2.33,2.44,2.16
"전체 평균","가구주연령 (세)",52.20,46.71,59.57,52.15,47.60,58.90,52.03,47.17,58.99,52.08,47.30,59.08,52.43,47.13,59.55,52.42,47.40,59.17,52.46,47.37,59.62,52.47,47.62,59.40,52.84,47.50,59.87,52.66,48.42,58.88,52.62,48.17,59.17,52.67,47.81,59.68,52.35,47.08,59.81,52.30,47.65,59.19,52.27,47.86,59.05,52.27,47.73,59.56
"전체 평균","가구분포 (%)",100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
"전체 평균","소득",4271911,5219758,3000893,4168865,4890840,3098305,4301979,5009750,3288868,4284972,4834230,3481096,4366070,5276492,3143146,4315385,5032809,3352037,4377301,5082240,3386126,4361723,4928143,3552108,4383813,5290038,3192094,4286962,5012008,3220820,4728905,5460932,3651827,4642311,5268864,3739680,4825037,5669470,3629796,4831061,5279701,4165507,4868667,5510040,3881281,4833575,5464131,3822462
"전체 평균","경상소득",4187631,5142679,2906957,4111302,4845590,3022483,4247403,4950467,3241031,4214941,4759726,3417611,4253196,5168985,3023063,4244221,4963305,3278645,4307546,5012952,3315715,4280242,4856110,3457124,4300458,5204857,3111140,4207908,4921512,3158590,4666109,5395464,3592964,4539211,5150188,3659019,4736658,5590495,3528108,4739277,5200760,4054671,4788007,5447181,3773217,4738128,5380940,3707364
"전체 평균","근로소득",2767115,4448305,512720,2715584,4196454,519716,2790651,4330233,586877,2726397,4186904,588846,2815578,4472808,589503,2576278,4088525,545652,2781474,4353933,570528,2738479,4232765,602616,2778016,4494651,520581,2742538,4233273,550490,2954059,4561910,588326,2893183,4480990,605737,3062287,4810484,587827,2886684,4412904,622552,3114403,4722605,638596,3120910,4690177,604553
"전체 평균","사업소득",774345,191951,1555308,833315,228785,1729726,852757,194634,1794801,975135,223173,2075684,779417,200896,1556516,778438,174370,1589574,853418,183657,1795132,937250,219491,1963181,767065,176757,1543340,806440,209729,1683872,884788,206460,1882855,1018136,236219,2144590,862489,213118,1781631,926706,241112,1943777,991030,244283,2140639,1017988,278584,2203641
"전체 평균","재산소득",34095,30432,39008,45210,50009,38093,27562,16253,43749,25145,15664,39022,38012,30209,48495,26511,16474,39989,31059,24478,40313,24915,16748,36589,32548,24182,43550,42347,44541,39120,23624,20017,28932,25880,19845,34576,31892,21990,45907,32650,24896,44154,30414,22008,43354,28874,20162,42843
"전체 평균","이전소득",612075,471991,799921,517194,370343,734948,576434,409348,815604,488263,333985,714060,620189,465071,828550,862994,683937,1103430,641594,450884,909742,579598,387105,854738,722829,509267,1003669,616584,433970,885108,803638,607076,1092851,602012,413133,874117,779991,544902,1112743,893237,521848,1444189,652161,458286,950629,570356,392017,856327
