"행정구역별(시군구)","거처의 종류",2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020
"행정구역별(시군구)","거처의 종류",일반가구,부엌_현대식,부엌_현대식_단독사용,부엌_현대식_공동사용,부엌_재래식,부엌_재래식_단독사용,부엌_재래식_공동사용,부엌없음,수도_상수도,수도_마을상수도,수도_전용상수도,수도_없음,화장실_수세식,화장실_수세식_단독사용,화장실_수세식_공동사용,화장실_재래식,화장실_재래식_단독사용,화장실_재래식_공동사용,화장실_없음,목욕시설_있음,목욕시설_있음_단독사용,목욕시설_있음_공동사용,목욕시설_없음,온수시설_있음,온수시설_없음
"전국","계",6643354,6594636,6531137,63499,45004,43682,1322,3714,6411341,163774,18088,50151,6535522,6459408,76114,107669,96899,10770,163,6563218,6524684,38534,80136,6592308,51046
"전국","주택",5920184,5877117,5849005,28112,43067,41875,1192,X,5695467,160331,16906,47480,5816588,5772522,44066,103596,93447,10149,X,5843312,5826948,16364,76872,5871756,48428
"전국","단독주택",2921200,2878980,2855613,23367,42220,41084,1136,X,2702027,157153,16184,45836,2818799,2780191,38608,102401,92473,9928,X,2846001,2832980,13021,75199,2873815,47385
"전국","아파트",2124418,2124418,2123908,510,X,X,X,X,2124418,X,X,X,2124418,2123835,583,X,X,X,X,2124418,2124104,314,X,2124418,X
"전국","연립주택",114584,114584,114484,100,X,X,X,X,113480,612,264,228,114584,114411,173,X,X,X,X,114584,114499,85,X,114584,X
"전국","다세대주택",635537,635537,634553,984,X,X,X,X,633527,1129,171,710,635537,634415,1122,X,X,X,X,635537,634828,709,X,635537,X
"전국","비거주용건물내 주택",124445,123598,120447,3151,847,791,56,X,122015,1437,287,706,123250,119670,3580,1195,974,221,X,122772,120537,2235,1673,123402,1043
"전국","주택이외의 거처",723170,717519,682132,35387,1937,1807,130,3714,715874,3443,1182,2671,718934,686886,32048,4073,3452,621,163,719906,697736,22170,3264,720552,2618
"읍부","계",620899,616044,611654,4390,4697,4639,58,158,591097,18645,2221,8936,605252,600066,5186,15631,14627,1004,16,612151,609689,2462,8748,612622,8277
"읍부","주택",577090,572621,571269,1352,4469,4418,51,X,548202,18247,2089,8552,561939,559415,2524,15151,14191,960,X,568667,567976,691,8423,569127,7963
"읍부","단독주택",297818,293403,292186,1217,4415,4365,50,X,270308,17439,1909,8162,282810,280468,2342,15008,14070,938,X,289565,288933,632,8253,289999,7819
"읍부","아파트",215827,215827,215787,40,X,X,X,X,215827,X,X,X,215827,215797,30,X,X,X,X,215827,215809,18,X,215827,X
"읍부","연립주택",17583,17583,17575,8,X,X,X,X,17276,139,100,68,17583,17571,12,X,X,X,X,17583,17575,8,X,17583,X
"읍부","다세대주택",35726,35726,35716,10,X,X,X,X,35039,452,52,183,35726,35716,10,X,X,X,X,35726,35720,6,X,35726,X
"읍부","비거주용건물내 주택",10136,10082,10005,77,54,53,X,X,9752,217,28,139,9993,9863,130,143,121,22,X,9966,9939,27,170,9992,144
"읍부","주택이외의 거처",43809,43423,40385,3038,228,221,7,158,42895,398,132,384,43313,40651,2662,480,436,44,16,43484,41713,1771,325,43495,314
"면부","계",721965,707358,700755,6603,14366,14270,96,241,534476,140051,12799,34639,669855,663056,6799,52082,51345,737,28,692376,689407,2969,29589,701595,20370
