"행정구역별","성별","연령별","혼인상태별","시점","1인가구-계","본인의 직장 때문에","본인의 학업 때문에","본인의 독립 생활을 위하여","본인의 건강 때문에","가족이 학업,취업,홍인,건강등으로 타지에 거주하게 되어서","가족과 사별","기타",
"전국","계","합계","합계","2020년","6643354","2277582","328259","1739462","102862","1127873","1029789","37527",
"전국","계","합계","미혼","2020년","3340537","1630322","327616","1065748","30812","158878","105051","22110",
"전국","계","합계","배우자 있음","2020년","874341","420076","602","110156","24686","287479","21350","9992",
"전국","계","합계","사별","2020년","1361817","33861","","74218","21718","395177","834833","2010",
"전국","계","합계","이혼","2020년","1066659","193323","41","489340","25646","286339","68555","3415",
"전국","계","20세 미만","합계","2020년","72119","11198","58203","","","2276","408","34",
"전국","계","20세 미만","미혼","2020년","72119","11198","58203","","","2276","408","34",
"전국","계","20~24","합계","2020년","496119","169637","212989","85667","","21442","5504","880",
"전국","계","20~24","미혼","2020년","494422","168972","212916","85182","","21034","5441","877",
"전국","계","20~24","배우자 있음","2020년","1098","481","57","220","","337","","3",
"전국","계","20~24","사별","2020년","15","","","","","4","11","",
"전국","계","20~24","이혼","2020년","584","184","16","265","","67","52","",
"전국","계","25~29","합계","2020년","775110","494366","49934","189162","","29628","9719","2301",
"전국","계","25~29","미혼","2020년","760813","486529","49835","185846","","26971","9533","2099",
"전국","계","25~29","배우자 있음","2020년","10169","6388","74","1233","","2293","","181",
"전국","계","25~29","사별","2020년","177","52","","51","","10","64","",
"전국","계","25~29","이혼","2020년","3951","1397","25","2032","","354","122","21",
"전국","계","30~34","합계","2020년","618316","388892","5356","180804","1662","28792","10020","2790",
"전국","계","30~34","미혼","2020년","571902","361451","5204","171474","1662","21075","8804","2232",
"전국","계","30~34","배우자 있음","2020년","32912","22118","152","2882","","6763","497","500",
"전국","계","30~34","사별","2020년","500","132","","86","","48","234","",
"전국","계","30~34","이혼","2020년","13002","5191","","6362","","906","485","58",
"전국","계","35~39","합계","2020년","497027","267179","1034","179709","2913","30824","12560","2808",
"전국","계","35~39","미혼","2020년","414181","220613","952","159545","2538","18157","10233","2143",
"전국","계","35~39","배우자 있음","2020년","49953","33980","82","4271","171","10112","793","544",
"전국","계","35~39","사별","2020년","1147","449","","180","","80","430","8",
"전국","계","35~39","이혼","2020년","31746","12137","","15713","204","2475","1104","113",
"전국","계","40~44","합계","2020년","427257","207178","367","164182","4754","32625","14820","3331",
"전국","계","40~44","미혼","2020년","304966","144802","304","128722","3538","14159","10954","2487",
"전국","계","40~44","배우자 있음","2020년","63115","42889","63","5582","452","12483","1002","644",
"전국","계","40~44","사별","2020년","2016","470","","295","26","252","952","21",
"전국","계","40~44","이혼","2020년","57160","19017","","29583","738","5731","1912","179",
"전국","계","45~49","합계","2020년","476499","205865","238","180707","6791","55032","23416","4450",
"전국","계","45~49","미혼","2020년","263299","110493","171","116170","4218","14601","14456","3190",
"전국","계","45~49","배우자 있음","2020년","95713","62801","67","8923","779","20844","1423","876",
"전국","계","45~49","사별","2020년","6321","1171","","686","93","1458","2873","40",
"전국","계","45~49","이혼","2020년","111166","31400","","54928","1701","18129","4664","344",
"전국","계","50~54","합계","2020년","497959","183798","57","176347","9869","89742","32956","5190",
"전국","계","50~54","미혼","2020년","183077","64602","31","84055","4776","12369","13754","3490",
"전국","계","50~54","배우자 있음","2020년","125494","76581","26","12388","1580","32143","1670","1106",
"전국","계","50~54","사별","2020년","21621","3145","","2012","221","6454","9727","62",
"전국","계","50~54","이혼","2020년","167767","39470","","77892","3292","38776","7805","532",
"전국","계","55~59","합계","2020년","541536","155950","45","174448","14070","134852","56504","5667",
"전국","계","55~59","미혼","2020년","120732","34368","","56359","5050","9829","11718","3408",
"전국","계","55~59","배우자 있음","2020년","147259","77125","45","17872","2944","45405","2458","1410",
"전국","계","55~59","사별","2020년","62200","5887","","5603","661","19582","30334","133",
"전국","계","55~59","이혼","2020년","211345","38570","","94614","5415","60036","11994","716",
"전국","계","60~64","합계","2020년","580701","111929","16","173605","16237","170297","104939","3678",
"전국","계","60~64","미혼","2020년","79263","17681","","40732","4050","6705","9062","1033",
"전국","계","60~64","배우자 있음","2020년","144431","56877","16","23019","4790","54616","3322","1791",
"전국","계","60~64","사별","2020년","140573","8099","","12414","1337","41254","77257","212",
"전국","계","60~64","이혼","2020년","216434","29272","","97440","6060","67722","15298","642",
"전국","계","65~69","합계","2020년","458284","49820","6","120557","12997","139925","132160","2819",
"전국","계","65~69","미혼","2020년","40199","6269","","22354","2290","3617","5055","614",
"전국","계","65~69","배우자 있음","2020년","89533","25815","6","16754","4570","38301","2644","1443",
"전국","계","65~69","사별","2020년","190443","6034","","16896","2069","52279","112879","286",
"전국","계","65~69","이혼","2020년","138109","11702","","64553","4068","45728","11582","476",
"전국","계","70~74","합계","2020년","382524","20996","14","75338","10195","114726","159736","1519",
"전국","계","70~74","미혼","2020년","19005","2167","","10817","1228","1764","2781","248",
"전국","계","70~74","배우자 있음","2020년","54787","10426","14","11415","3582","26125","2428","797",
"전국","계","70~74","사별","2020년","238113","4656","","19823","3005","63311","147033","285",
"전국","계","70~74","이혼","2020년","70619","3747","","33283","2380","23526","7494","189",
"전국","계","75~79","합계","2020년","350186","9608","","38936","8903","106822","184816","1101",
"전국","계","75~79","미혼","2020년","10050","1064","","4492","776","1891","1663","164",
"전국","계","75~79","배우자 있음","2020년","32801","4099","","5597","2979","17491","2184","451",
"전국","계","75~79","사별","2020년","276361","3300","","16172","3995","75281","177212","401",
"전국","계","75~79","이혼","2020년","30974","1145","","12675","1153","12159","3757","85",
"전국","계","80~84","합계","2020년","278847","1166","","","7194","104742","165218","527",
"전국","계","80~84","미혼","2020년","4138","113","","","334","2915","717","59",
"전국","계","80~84","배우자 있음","2020년","18258","496","","","1798","13952","1849","163",
"전국","계","80~84","사별","2020년","245857","466","","","4635","79489","160997","270",
"전국","계","80~84","이혼","2020년","10594","91","","","427","8386","1655","35",
"전국","계","85세 이상","합계","2020년","190870","","","","7277","66148","117013","432",
"전국","계","85세 이상","미혼","2020년","2371","","","","352","1515","472","32",
"전국","계","85세 이상","배우자 있음","2020년","8818","","","","1041","6614","1080","83",
"전국","계","85세 이상","사별","2020년","176473","","","","5676","55675","114830","292",
"전국","계","85세 이상","이혼","2020년","3208","","","","208","2344","631","25",
"전국","남자","합계","합계","2020년","3304398","1437882","175375","960142","53446","389434","265211","22908",
"전국","남자","합계","미혼","2020년","1996214","996721","175136","624564","20531","93578","71036","14648",
"전국","남자","합계","배우자 있음","2020년","525923","308031","227","59257","13945","129510","9064","5889",
"전국","남자","합계","사별","2020년","218508","10266","","11945","4017","43830","148133","317",
"전국","남자","합계","이혼","2020년","563753","122864","12","264376","14953","122516","36978","2054",
"전국","남자","20세 미만","합계","2020년","33854","5802","26782","","","1092","161","17",
"전국","남자","20세 미만","미혼","2020년","33854","5802","26782","","","1092","161","17",
"전국","남자","20~24","합계","2020년","219029","64115","105909","35675","","10132","2735","463",
"전국","남자","20~24","미혼","2020년","218512","63871","105902","35541","","10038","2697","463",
"전국","남자","20~24","배우자 있음","2020년","310","155","7","61","","87","","",
"전국","남자","20~24","사별","2020년","11","","","","","","11","",
"전국","남자","20~24","이혼","2020년","196","89","","73","","7","27","",
"전국","남자","25~29","합계","2020년","433190","271334","38218","100088","","16139","5962","1449",
"전국","남자","25~29","미혼","2020년","426820","267224","38172","98842","","15372","5867","1343",
"전국","남자","25~29","배우자 있음","2020년","4749","3458","34","504","","647","","106",
"전국","남자","25~29","사별","2020년","104","29","","30","","7","38","",
"전국","남자","25~29","이혼","2020년","1517","623","12","712","","113","57","",
"전국","남자","30~34","합계","2020년","394473","256851","3680","108065","958","16327","6613","1979",
"전국","남자","30~34","미혼","2020년","369015","239651","3630","104111","958","13000","6008","1657",
"전국","남자","30~34","배우자 있음","2020년","19381","14558","50","1391","","2876","200","306",
"전국","남자","30~34","사별","2020년","273","84","","39","","17","133","",
"전국","남자","30~34","이혼","2020년","5804","2558","","2524","","434","272","16",
"전국","남자","35~39","합계","2020년","320100","182074","479","108009","1637","17596","8559","1746",
"전국","남자","35~39","미혼","2020년","269272","149396","428","98037","1493","11362","7231","1325",
"전국","남자","35~39","배우자 있음","2020년","33498","25095","51","2389","64","5060","488","351",
"전국","남자","35~39","사별","2020년","580","255","","70","","33","218","4",
"전국","남자","35~39","이혼","2020년","16750","7328","","7513","80","1141","622","66",
"전국","남자","40~44","합계","2020년","272897","145296","163","94727","2828","17643","10081","2159",
"전국","남자","40~44","미혼","2020년","198471","100267","132","77494","2185","8838","7899","1656",
"전국","남자","40~44","배우자 있음","2020년","43117","32737","31","2811","239","6308","611","380",
"전국","남자","40~44","사별","2020년","791","237","","92","8","43","411","",
"전국","남자","40~44","이혼","2020년","30518","12055","","14330","396","2454","1160","123",
"전국","남자","45~49","합계","2020년","299310","146858","102","104252","4058","25940","15283","2817",
"전국","남자","45~49","미혼","2020년","178492","79825","71","73187","2885","9621","10789","2114",
"전국","남자","45~49","배우자 있음","2020년","62708","47104","31","4494","355","9308","938","478",
"전국","남자","45~49","사별","2020년","1936","479","","140","40","238","1029","10",
"전국","남자","45~49","이혼","2020년","56174","19450","","26431","778","6773","2527","215",
"전국","남자","50~54","합계","2020년","300477","131404","31","104065","6193","36730","18578","3476",
"전국","남자","50~54","미혼","2020년","129679","48237","19","56230","3571","8723","10411","2488",
"전국","남자","50~54","배우자 있음","2020년","77801","56644","12","6274","688","12572","929","682",
"전국","남자","50~54","사별","2020년","5275","1277","","432","58","776","2723","9",
