"행정구역별","성별","연령별","경제활동상태별","시점","1인가구-계","본인의 직장 때문에","본인의 학업 때문에","본인의 독립 생활을 위하여","본인의 건강 때문에","가족이 학업,취업,홍인,건강등으로 타지에 거주하게 되어서","가족과 사별","기타",
"전국","계","합계","합계","2020년","6642988","2277582","327893","1739462","102862","1127873","1029789","37527",
"전국","계","합계","주로 일하였음","2020년","3741683","1938033","3736","1037611","12312","455638","278870","15483",
"전국","계","합계","틈틈이 일하였음","2020년","247730","74837","70873","54191","1191","29086","16722","830",
"전국","계","합계","일시 휴직","2020년","120489","46426","1299","46644","1414","15731","7843","1132",
"전국","계","합계","일하지 않았음","2020년","2533086","218286","251985","601016","87945","627418","726354","20082",
"전국","계","15~19","합계","2020년","71753","11198","57837","","","2276","408","34",
"전국","계","15~19","주로 일하였음","2020년","8819","5700","2840","","","200","62","17",
"전국","계","15~19","틈틈이 일하였음","2020년","11046","1765","8805","","","407","69","",
"전국","계","15~19","일시 휴직","2020년","399","172","224","","","","3","",
"전국","계","15~19","일하지 않았음","2020년","51489","3561","45968","","","1669","274","17",
"전국","계","20~24","합계","2020년","496119","169637","212989","85667","","21442","5504","880",
"전국","계","20~24","주로 일하였음","2020년","163836","117475","144","38755","","5357","1605","500",
"전국","계","20~24","틈틈이 일하였음","2020년","84586","20877","48323","10556","","3543","1244","43",
"전국","계","20~24","일시 휴직","2020년","5379","2493","702","1772","","293","107","12",
"전국","계","20~24","일하지 않았음","2020년","242318","28792","163820","34584","","12249","2548","325",
"전국","계","25~29","합계","2020년","775110","494366","49934","189162","","29628","9719","2301",
"전국","계","25~29","주로 일하였음","2020년","575367","417658","400","131436","","17946","6519","1408",
"전국","계","25~29","틈틈이 일하였음","2020년","45701","21026","12116","9477","","2129","882","71",
"전국","계","25~29","일시 휴직","2020년","14510","8628","277","4585","","739","205","76",
"전국","계","25~29","일하지 않았음","2020년","139532","47054","37141","43664","","8814","2113","746",
"전국","계","30~34","합계","2020년","618316","388892","5356","180804","1662","28792","10020","2790",
"전국","계","30~34","주로 일하였음","2020년","509702","342366","73","137183","504","20498","7401","1677",
"전국","계","30~34","틈틈이 일하였음","2020년","20498","11325","1335","6036","90","1222","412","78",
"전국","계","30~34","일시 휴직","2020년","14883","8049","54","5603","49","741","255","132",
"전국","계","30~34","일하지 않았음","2020년","73233","27152","3894","31982","1019","6331","1952","903",
"전국","계","35~39","합계","2020년","497027","267179","1034","179709","2913","30824","12560","2808",
"전국","계","35~39","주로 일하였음","2020년","405180","236932","139","135189","634","21639","9077","1570",
"전국","계","35~39","틈틈이 일하였음","2020년","10727","4760","194","4268","60","1007","385","53",
"전국","계","35~39","일시 휴직","2020년","15064","6553","34","6473","181","1148","558","117",
"전국","계","35~39","일하지 않았음","2020년","66056","18934","667","33779","2038","7030","2540","1068",
