"행정구역별","성별","연령별","혼인상태별","시점","1인가구-계","6개월미만","6개월이상~1년미만","1~2년미만","2~3년미만","3~5년미만","5~10년미만","10~15년미만","15~20년미만","20~25년미만","25년이상",
"전국","계","합계","합계","2020년","6643354","378734","396868","763754","599954","902189","1254143","946959","427904","548329","424520",
"전국","계","합계","미혼","2020년","3340537","238015","272107","455300","349513","489600","620449","398850","151306","181894","183503",
"전국","계","합계","배우자 있음","2020년","874341","79371","67262","151651","109473","144688","156390","90591","30625","31765","12525",
"전국","계","합계","사별","2020년","1361817","33613","30625","79722","70731","147917","267507","250693","133092","185540","162377",
"전국","계","합계","이혼","2020년","1066659","27735","26874","77081","70237","119984","209797","206825","112881","149130","66115",
"전국","계","20세미만","합계","2020년","72119","20066","27704","16203","5206","2940","","","","","",
"전국","계","20세미만","미혼","2020년","72119","20066","27704","16203","5206","2940","","","","","",
"전국","계","20~24","합계","2020년","496119","68652","93295","120327","82413","92708","38724","","","","",
"전국","계","20~24","미혼","2020년","494422","68319","93147","119888","82195","92355","38518","","","","",
"전국","계","20~24","배우자 있음","2020년","1098","242","96","322","126","232","80","","","","",
"전국","계","20~24","사별","2020년","15","","","","6","9","","","","","",
"전국","계","20~24","이혼","2020년","584","91","52","117","86","112","126","","","","",
"전국","계","25~29","합계","2020년","775110","73429","78731","143888","111854","148314","177016","41878","","","",
"전국","계","25~29","미혼","2020년","760813","71380","76813","140455","109925","146041","174927","41272","","","",
"전국","계","25~29","배우자 있음","2020년","10169","1572","1461","2515","1391","1456","1375","399","","","",
"전국","계","25~29","사별","2020년","177","9","14","44","11","23","67","9","","","",
"전국","계","25~29","이혼","2020년","3951","468","443","874","527","794","647","198","","","",
"전국","계","30~34","합계","2020년","618316","42048","40740","88391","69649","104625","153336","103325","16202","","",
"전국","계","30~34","미혼","2020년","571902","36058","35568","77593","62617","97314","146851","100345","15556","","",
"전국","계","30~34","배우자 있음","2020년","32912","4694","4035","8010","5017","4928","4033","1832","363","","",
"전국","계","30~34","사별","2020년","500","32","38","79","68","58","129","80","16","","",
"전국","계","30~34","이혼","2020년","13002","1264","1099","2709","1947","2325","2323","1068","267","","",
"전국","계","35~39","합계","2020년","497027","27376","24748","58079","48124","73474","111777","85671","45895","21883","",
"전국","계","35~39","미혼","2020년","414181","18387","16772","41990","36088","58440","97625","80399","43994","20486","",
"전국","계","35~39","배우자 있음","2020년","49953","6950","5734","10927","7532","8511","6446","2299","919","635","",
"전국","계","35~39","사별","2020년","1147","96","80","143","162","195","275","87","51","58","",
"전국","계","35~39","이혼","2020년","31746","1943","2162","5019","4342","6328","7431","2886","931","704","",
"전국","계","40~44","합계","2020년","427257","20023","18884","43605","36368","57453","85580","74228","35415","49217","6484",
"전국","계","40~44","미혼","2020년","304966","9534","9364","23444","20726","36148","60450","61327","31361","46446","6166",
"전국","계","40~44","배우자 있음","2020년","63115","7913","6635","13307","9297","10463","9247","3928","1211","1007","107",
"전국","계","40~44","사별","2020년","2016","155","139","194","234","364","484","308","79","59","",
"전국","계","40~44","이혼","2020년","57160","2421","2746","6660","6111","10478","15399","8665","2764","1705","211",
"전국","계","45~49","합계","2020년","476499","21423","20329","47426","39094","58808","86270","76867","39689","53341","33252",
"전국","계","45~49","미혼","2020년","263299","6691","6179","16063","14840","24770","42531","48232","27329","45083","31581",
"전국","계","45~49","배우자 있음","2020년","95713","10453","9652","19273","13176","16558","15477","6744","2147","1594","639",
"전국","계","45~49","사별","2020년","6321","320","342","902","746","901","1465","903","363","327","52",
"전국","계","45~49","이혼","2020년","111166","3959","4156","11188","10332","16579","26797","20988","9850","6337","980",
"전국","계","50~54","합계","2020년","497959","22402","20232","50057","40062","62027","88986","79886","37129","51506","45672",
"전국","계","50~54","미혼","2020년","183077","3662","3244","9773","8720","15411","26196","29779","14426","30989","40877",
"전국","계","50~54","배우자 있음","2020년","125494","12143","11158","23644","16585","21498","21438","11583","3397","3040","1008",
"전국","계","50~54","사별","2020년","21621","1301","935","2608","2236","3257","4594","3458","1415","1499","318",
"전국","계","50~54","이혼","2020년","167767","5296","4895","14032","12521","21861","36758","35066","17891","15978","3469",
"전국","계","55~59","합계","2020년","541536","21998","18909","49178","41674","64635","101908","89488","45753","59483","48510",
"전국","계","55~59","미혼","2020년","120732","2084","1733","5042","4707","8474","16011","17577","8713","18691","37700",
"전국","계","55~59","배우자 있음","2020년","147259","12100","10162","24803","18412","25149","28430","16146","5589","4867","1601",
"전국","계","55~59","사별","2020년","62200","2505","2325","5608","5306","8715","14127","10896","5714","5746","1258",
"전국","계","55~59","이혼","2020년","211345","5309","4689","13725","13249","22297","43340","44869","25737","30179","7951",
"전국","계","60~64","합계","2020년","580701","19685","16833","47516","40736","66867","109023","99857","50734","77775","51675",
"전국","계","60~64","미혼","2020년","79263","1022","940","2943","2623","4298","9940","11162","5054","11117","30164",
"전국","계","60~64","배우자 있음","2020년","144431","10275","8255","22042","17319","24364","28705","18100","6239","7228","1904",
"전국","계","60~64","사별","2020년","140573","4333","3982","10535","9818","18335","32225","25691","12989","17778","4887",
"전국","계","60~64","이혼","2020년","216434","4055","3656","11996","10976","19870","38153","44904","26452","41652","14720",
"전국","계","65~69","합계","2020년","458284","13187","11938","31363","27632","49995","86458","81334","42064","65213","49100",
"전국","계","65~69","미혼","2020년","40199","528","419","1066","1033","1918","4130","5218","2715","5115","18057",
"전국","계","65~69","배우자 있음","2020년","89533","5637","4612","12154","9463","14474","18767","12563","4467","5354","2042",
"전국","계","65~69","사별","2020년","190443","5250","4893","11994","11191","22748","41270","36410","18588","25427","12672",
"전국","계","65~69","이혼","2020년","138109","1772","2014","6149","5945","10855","22291","27143","16294","29317","16329",
"전국","계","70~74","합계","2020년","382524","10130","8491","24115","20411","39754","70729","69829","36189","53767","49109",
"전국","계","70~74","미혼","2020년","19005","128","118","460","398","844","1779","2125","1228","2336","9589",
"전국","계","70~74","배우자 있음","2020년","54787","3291","2449","6674","5302","8359","11404","8669","3033","3778","1828",
"전국","계","70~74","사별","2020년","238113","6042","5306","14083","12082","25437","47381","45750","24018","32825","25189",
"전국","계","70~74","이혼","2020년","70619","669","618","2898","2629","5114","10165","13285","7910","14828","12503",
"전국","계","75~79","합계","2020년","350186","8501","7388","19650","17214","36938","64435","61954","33206","48442","52458",
"전국","계","75~79","미혼","2020년","10050","117","69","194","282","398","957","849","539","945","5700",
"전국","계","75~79","배우자 있음","2020년","32801","2081","1440","4049","3265","4681","6290","4858","1923","2388","1826",
"전국","계","75~79","사별","2020년","276361","5963","5647","14261","12536","29471","52754","50790","27407","39101","38431",
"전국","계","75~79","이혼","2020년","30974","340","232","1146","1131","2388","4434","5457","3337","6008","6501",
"전국","계","80~84","합계","2020년","278847","6473","5619","15141","12203","28096","49048","49466","26707","39584","46510",
"전국","계","80~84","미혼","2020년","4138","32","30","141","90","124","305","385","241","454","2336",
"전국","계","80~84","배우자 있음","2020년","18258","1322","1016","2535","1710","2811","3217","2355","957","1323","1012",
"전국","계","80~84","사별","2020년","245857","4987","4490","12039","10035","24389","44021","44943","24397","35822","40734",
"전국","계","80~84","이혼","2020년","10594","132","83","426","368","772","1505","1783","1112","1985","2428",
"전국","계","85세 이상","합계","2020년","190870","3341","3027","8815","7314","15555","30853","33176","18921","28118","41750",
"전국","계","85세 이상","미혼","2020년","2371","7","7","45","63","125","229","180","150","232","1333",
"전국","계","85세 이상","배우자 있음","2020년","8818","698","557","1396","878","1204","1481","1115","380","551","558",
"전국","계","85세 이상","사별","2020년","176473","2620","2434","7232","6300","14015","28715","31368","18055","26898","38836",
"전국","계","85세 이상","이혼","2020년","3208","16","29","142","73","211","428","513","336","437","1023",
"전국","남자","합계","합계","2020년","3304398","203716","210613","403852","315159","457857","636787","469552","197637","239217","170008",
"전국","남자","합계","미혼","2020년","1996214","135069","149734","259487","199681","279502","373073","257785","98078","123064","120741",
"전국","남자","합계","배우자 있음","2020년","525923","48931","42067","89437","65192","86780","95912","54785","18552","17870","6397",
"전국","남자","합계","사별","2020년","218508","6613","5873","15607","13802","27587","50680","42527","20512","24313","10994",
"전국","남자","합계","이혼","2020년","563753","13103","12939","39321","36484","63988","117122","114455","60495","73970","31876",
"전국","남자","20세미만","합계","2020년","33854","9721","13178","7097","2398","1460","","","","","",
"전국","남자","20세미만","미혼","2020년","33854","9721","13178","7097","2398","1460","","","","","",
"전국","남자","20~24","합계","2020년","219029","33199","44768","54917","35573","34758","15814","","","","",
"전국","남자","20~24","미혼","2020년","218512","33115","44744","54792","35513","34606","15742","","","","",
"전국","남자","20~24","배우자 있음","2020년","310","55","13","97","31","100","14","","","","",
"전국","남자","20~24","사별","2020년","11","","","","6","5","","","","","",
"전국","남자","20~24","이혼","2020년","196","29","11","28","23","47","58","","","","",
"전국","남자","25~29","합계","2020년","433190","42355","45438","83785","63144","81752","91989","24727","","","",
"전국","남자","25~29","미혼","2020년","426820","41330","44673","82269","62309","80784","91056","24399","","","",
"전국","남자","25~29","배우자 있음","2020년","4749","805","650","1175","627","653","638","201","","","",
"전국","남자","25~29","사별","2020년","104","9","3","34","7","12","30","9","","","",
"전국","남자","25~29","이혼","2020년","1517","211","112","307","201","303","265","118","","","",
"전국","남자","30~34","합계","2020년","394473","26874","25530","55969","44717","67597","98078","64689","11019","","",
"전국","남자","30~34","미혼","2020년","369015","23476","22703","50015","40702","63799","94680","63025","10615","","",
"전국","남자","30~34","배우자 있음","2020년","19381","2868","2341","4752","3054","2671","2335","1080","280","","",
"전국","남자","30~34","사별","2020년","273","14","17","44","35","34","54","62","13","","",
"전국","남자","30~34","이혼","2020년","5804","516","469","1158","926","1093","1009","522","111","","",
"전국","남자","35~39","합계","2020년","320100","17848","15319","37110","30724","47158","72996","55589","28426","14930","",
"전국","남자","35~39","미혼","2020년","269272","11928","10316","26952","23434","37947","64516","52666","27372","14141","",
"전국","남자","35~39","배우자 있음","2020년","33498","4893","3837","7287","4903","5712","4405","1501","579","381","",
"전국","남자","35~39","사별","2020년","580","50","47","74","106","76","122","41","27","37","",
"전국","남자","35~39","이혼","2020년","16750","977","1119","2797","2281","3423","3953","1381","448","371","",
"전국","남자","40~44","합계","2020년","272897","13128","12233","27709","23377","36014","54022","47118","22474","32167","4655",
"전국","남자","40~44","미혼","2020년","198471","6193","5768","14932","13582","23229","39150","39874","20531","30760","4452",
"전국","남자","40~44","배우자 있음","2020년","43117","5581","4858","9029","6272","6851","6281","2781","787","602","75",
"전국","남자","40~44","사별","2020년","791","60","86","49","83","122","221","112","31","27","",
"전국","남자","40~44","이혼","2020년","30518","1294","1521","3699","3440","5812","8370","4351","1125","778","128",
