"행정구역별","성별","연령별","1인가구사유별","시점","1인가구-계","6개월미만","6개월이상~1년미만","1~2년미만","2~3년미만","3~5년미만","5~10년미만","10~15년미만","15~20년미만","20~25년미만","25년이상",
"전국","계","합계","합계","2020년","6643354","378734","396868","763754","599954","902189","1254143","946959","427904","548329","424520",
"전국","계","합계","본인의 직장 때문에","2020년","2277582","161075","166721","318912","246919","354970","463719","291487","104278","106498","63003",
"전국","계","합계","본인의 학업 때문에","2020년","328259","46264","77124","77695","52967","51390","20256","2249","195","79","40",
"전국","계","합계","본인의 독립 생활을 위하여","2020년","1739462","82958","75903","172648","145886","223479","333856","269659","128586","171128","135359",
"전국","계","합계","본인의 건강 때문에","2020년","102862","3964","3347","8647","7135","12709","17844","16754","7994","12504","11964",
"전국","계","합계","가족이 학업,취업,홍인,건강등으로 타지에 거주하게 되어서","2020년","1127873","55645","48161","123294","92118","143426","206897","174453","85043","115131","83705",
"전국","계","합계","가족과 사별","2020년","1029789","25680","23697","58211","52435","112217","205073","187272","99485","139786","125933",
"전국","계","합계","기타","2020년","37527","3148","1915","4347","2494","3998","6498","5085","2323","3203","4516",
"전국","계","20세 미만","합계","2020년","72119","20066","27704","16203","5206","2940","","","","","",
"전국","계","20세 미만","본인의 직장 때문에","2020년","11198","2923","3610","2579","996","1090","","","","","",
"전국","계","20세 미만","본인의 학업 때문에","2020년","58203","16653","23324","12863","3929","1434","","","","","",
"전국","계","20세 미만","가족이 학업,취업,홍인,건강등으로 타지에 거주하게 되어서","2020년","2276","451","709","627","224","265","","","","","",
"전국","계","20세 미만","가족과 사별","2020년","408","27","44","134","57","146","","","","","",
"전국","계","20세 미만","기타","2020년","34","12","17","","","5","","","","","",
"전국","계","20~24","합계","2020년","496119","68652","93295","120327","82413","92708","38724","","","","",
"전국","계","20~24","본인의 직장 때문에","2020년","169637","26303","29876","39078","24059","31978","18343","","","","",
"전국","계","20~24","본인의 학업 때문에","2020년","212989","25701","46979","54188","39957","37691","8473","","","","",
"전국","계","20~24","본인의 독립 생활을 위하여","2020년","85667","13669","12880","20841","13660","16220","8397","","","","",
"전국","계","20~24","가족이 학업,취업,홍인,건강등으로 타지에 거주하게 되어서","2020년","21442","2579","3192","5315","3652","4612","2092","","","","",
"전국","계","20~24","가족과 사별","2020년","5504","277","264","669","927","2062","1305","","","","",
"전국","계","20~24","기타","2020년","880","123","104","236","158","145","114","","","","",
"전국","계","25~29","합계","2020년","775110","73429","78731","143888","111854","148314","177016","41878","","","",
"전국","계","25~29","본인의 직장 때문에","2020년","494366","45072","50035","91457","70981","94506","114675","27640","","","",
"전국","계","25~29","본인의 학업 때문에","2020년","49934","3466","6154","9537","8090","10962","10559","1166","","","",
"전국","계","25~29","본인의 독립 생활을 위하여","2020년","189162","21095","19044","35216","27307","35428","41305","9767","","","",
"전국","계","25~29","가족이 학업,취업,홍인,건강등으로 타지에 거주하게 되어서","2020년","29628","2877","2812","6107","4304","5119","6640","1769","","","",
"전국","계","25~29","가족과 사별","2020년","9719","479","443","1146","958","2015","3329","1349","","","",
"전국","계","25~29","기타","2020년","2301","440","243","425","214","284","508","187","","","",
"전국","계","30~34","합계","2020년","618316","42048","40740","88391","69649","104625","153336","103325","16202","","",
"전국","계","30~34","본인의 직장 때문에","2020년","388892","23179","24129","52383","42025","65570","101652","69858","10096","","",
"전국","계","30~34","본인의 학업 때문에","2020년","5356","330","468","804","754","1034","1003","879","84","","",
"전국","계","30~34","본인의 독립 생활을 위하여","2020년","180804","14679","13085","27892","22314","31778","40354","26329","4373","","",
"전국","계","30~34","본인의 건강 때문에","2020년","1662","156","132","241","186","259","408","227","53","","",
"전국","계","30~34","가족이 학업,취업,홍인,건강등으로 타지에 거주하게 되어서","2020년","28792","2771","2222","5673","3451","4311","5847","3674","843","","",
"전국","계","30~34","가족과 사별","2020년","10020","377","488","854","683","1321","3551","2061","685","","",
"전국","계","30~34","기타","2020년","2790","556","216","544","236","352","521","297","68","","",
"전국","계","35~39","합계","2020년","497027","27376","24748","58079","48124","73474","111777","85671","45895","21883","",
"전국","계","35~39","본인의 직장 때문에","2020년","267179","14410","13528","30305","24649","38085","58584","49770","26662","11186","",
"전국","계","35~39","본인의 학업 때문에","2020년","1034","56","92","179","164","159","144","122","87","31","",
"전국","계","35~39","본인의 독립 생활을 위하여","2020년","179709","9223","7951","20145","17960","28306","43029","29409","15709","7977","",
"전국","계","35~39","본인의 건강 때문에","2020년","2913","202","214","301","286","386","618","497","221","188","",
"전국","계","35~39","가족이 학업,취업,홍인,건강등으로 타지에 거주하게 되어서","2020년","30824","2707","2302","5791","3885","4501","5602","3315","1578","1143","",
"전국","계","35~39","가족과 사별","2020년","12560","439","468","969","958","1643","3317","2153","1403","1210","",
"전국","계","35~39","기타","2020년","2808","339","193","389","222","394","483","405","235","148","",
"전국","계","40~44","합계","2020년","427257","20023","18884","43605","36368","57453","85580","74228","35415","49217","6484",
"전국","계","40~44","본인의 직장 때문에","2020년","207178","10446","10078","21841","18062","27791","38076","35204","18186","24397","3097",
"전국","계","40~44","본인의 학업 때문에","2020년","367","30","46","66","25","60","61","35","20","18","6",
"전국","계","40~44","본인의 독립 생활을 위하여","2020년","164182","5462","5376","13956","12741","21969","36932","31396","13884","19864","2602",
"전국","계","40~44","본인의 건강 때문에","2020년","4754","251","235","419","464","730","1013","807","270","484","81",
"전국","계","40~44","가족이 학업,취업,홍인,건강등으로 타지에 거주하게 되어서","2020년","32625","2919","2398","5782","3865","4587","5557","3683","1526","2068","240",
"전국","계","40~44","가족과 사별","2020년","14820","659","566","1122","917","1977","3355","2645","1270","1976","333",
"전국","계","40~44","기타","2020년","3331","256","185","419","294","339","586","458","259","410","125",
"전국","계","45~49","합계","2020년","476499","21423","20329","47426","39094","58808","86270","76867","39689","53341","33252",
"전국","계","45~49","본인의 직장 때문에","2020년","205865","10986","10750","22842","18177","26600","35098","29603","15091","22647","14071",
"전국","계","45~49","본인의 학업 때문에","2020년","238","24","42","39","31","27","9","26","4","2","34",
"전국","계","45~49","본인의 독립 생활을 위하여","2020년","180707","4419","4544","12072","12214","20153","35084","34659","18806","23765","14991",
"전국","계","45~49","본인의 건강 때문에","2020년","6791","306","209","653","435","921","1264","1222","485","800","496",
"전국","계","45~49","가족이 학업,취업,홍인,건강등으로 타지에 거주하게 되어서","2020년","55032","4575","3783","9386","6303","7842","9101","6588","2926","3034","1494",
"전국","계","45~49","가족과 사별","2020년","23416","843","812","1966","1685","2857","4926","4095","2043","2527","1662",
"전국","계","45~49","기타","2020년","4450","270","189","468","249","408","788","674","334","566","504",
"전국","계","50~54","합계","2020년","497959","22402","20232","50057","40062","62027","88986","79886","37129","51506","45672",
"전국","계","50~54","본인의 직장 때문에","2020년","183798","10149","9720","21583","16927","24409","32031","25990","10882","16155","15952",
"전국","계","50~54","본인의 학업 때문에","2020년","57","4","6","8","6","","5","","","28","",
"전국","계","50~54","본인의 독립 생활을 위하여","2020년","176347","4004","3712","11329","10042","18049","31508","33632","17196","24713","22162",
"전국","계","50~54","본인의 건강 때문에","2020년","9869","386","345","855","696","1096","1656","1705","803","1277","1050",
"전국","계","50~54","가족이 학업,취업,홍인,건강등으로 타지에 거주하게 되어서","2020년","89742","6371","5236","13505","9746","13698","16142","11976","4971","5478","2619",
"전국","계","50~54","가족과 사별","2020년","32956","1208","1048","2369","2385","4252","6824","5872","2954","3267","2777",
