"행정구역별(시군구)","성별","연령별","시점","전국","서울","부산","대구","인천","광주","대전","울산","세종시","경기도","강원도","충청북도","충청남도","전라북도","전라남도","경상북도","경상남도","제주특별자치도","기타",
"전국","계","합계","2020 년","6643354","1340814","457945","310440","327065","197738","225925","128080","41520","1378478","229241","233551","302530","258747","257767","394660","426870","79692","52291",
"전국","계","합계","2021 년","7165788","1457278","493726","337855","356128","216561","240829","139299","42685","1519027","242648","251017","323896","280392","277159","418943","462148","86303","19894",
"전국","계","20세 미만","2020 년","76202","9675","4449","2894","2572","2861","6679","1093","1259","9546","5059","4458","5517","4315","3820","6599","3726","815","865",
"전국","계","20세 미만","2021 년","54052","7915","2990","2249","2074","2224","4171","846","690","7342","3002","3012","3786","3631","2036","4289","2747","559","489",
"전국","계","20~24세","2020 년","492331","99554","33958","21709","17750","18491","33049","7564","6793","71133","22026","23402","28326","23916","15561","33903","23999","4187","7010",
"전국","계","20~24세","2021 년","492845","104497","34604","23309","18600","18638","32183","7906","5194","75724","20319","21578","27690","24483","14870","32104","25464","4438","1244",
"전국","계","25~29세","2020 년","774580","212088","48633","34012","35056","24626","32621","13913","6186","161548","20945","26336","31527","23696","18534","34749","36070","7427","6613",
"전국","계","25~29세","2021 년","870707","239386","56323","39249","39879","28580","36672","15962","6454","184767","22804","29856","34185","26723","21074","37003","40871","8188","2731",
"전국","계","30~34세","2020 년","618401","177728","34853","25119","29387","18094","22019","11473","4875","141834","13942","18455","25575","16333","13459","25838","29700","5775","3942",
"전국","계","30~34세","2021 년","704883","202549","41108","29044","34050","20368","24655","12915","5642","166200","15431","21248","27679","18529","15283","27985","32575","6674","2948",
"전국","계","35~39세","2020 년","497117","127246","28557","20156","25539","15973","15616","10005","3585","119706","11321","14449","20346","13583","12490","21883","27515","6085","3062",
"전국","계","35~39세","2021 년","521151","134275","29615","21296","26670","16750","16569","10245","3817","127296","11814","15370","21483","14354","13003","22530","27718","6121","2225",
"전국","계","40~44세","2020 년","427295","92970","25128","18482","23496","13814","12757","9474","2920","105927","11108","12665","17652","13232","12122","20201","26171","6147","3029",
"전국","계","40~44세","2021 년","467949","101566","27883","19877","25715","15178","14174","10305","3273","117446","12041","13899","19528","14381","13492","22165","28544","6665","1817",
"전국","계","45~49세","2020 년","476521","91528","28971","22202","26700","14821","14183","10824","2802","116586","13969","15069","19714","16187","15364","24055","31338","7614","4594",
"전국","계","45~49세","2021 년","482287","91744","29001","22335","26798","15618","14439","10752","3019","119705","14250","15334","20258","16876","16009","24956","31825","7626","1742",
"전국","계","50~54세","2020 년","497959","84178","32080","24708","27670","15200","14745","11332","2687","115937","17313","17265","21182","18318","18542","28069","34948","8186","5599",
"전국","계","50~54세","2021 년","541978","92037","34446","26602","29999","16962","16365","12304","3089","128207","18750","19119","23757","20333","20414","30475","38485","8991","1643",
"전국","계","55~59세","2020 년","541536","86651","37820","27940","30778","15547","15771","12108","2452","119971","21116","19633","24648","20835","21627","32879","38960","7932","4868",
"전국","계","55~59세","2021 년","558936","88954","38017","28628","31717","16634","16231","12531","2615","125666","21854","20599","25341","21854","23257","34381","40905","8441","1311",
"전국","계","60~64세","2020 년","580701","96264","47187","29516","31956","15914","16815","12818","2312","121241","23381","20548","24886","22778","23463","36268","43187","7499","4668",
"전국","계","60~64세","2021 년","646566","104908","50689","33085","36007","18362","18789","14444","2622","137133","26468","23656","28985","25658","26964","40689","48502","8251","1354",
"전국","계","65~69세","2020 년","458284","78199","41413","24622","22917","11888","12614","9481","1706","88861","18028","15960","19437","18920","20150","30842","34822","5262","3162",
"전국","계","65~69세","2021 년","529542","90122","46578","28061","27341","13744","14863","11181","1971","105605","21295","18880","22724","21532","22692","35475","40166","6226","1086",
"전국","계","70~74세","2020 년","382524","66223","34226","19639","18448","10271","9864","6857","1257","70877","14699","12480","17301","18768","20834","26561","28633","4081","1505",
"전국","계","70~74세","2021 년","413137","70409","37103","21858","19599","11321","10824","7684","1413","75700","15308","13382","19008","20295","22481","30003","31690","4479","580",
"전국","계","75세 이상","2020 년","819903","118510","60670","39441","34796","20238","19192","11138","2686","135311","36334","32831","46419","47866","61801","72813","67801","8682","3374",
"전국","계","75세 이상","2021 년","881755","128916","65369","42262","37679","22182","20894","12224","2886","148236","39312","35084","49472","51743","65584","76888","72656","9644","724",
"전국","남자","합계","2020 년","3304398","634099","210031","145596","169974","99084","114859","70587","21513","737739","113762","119965","155806","123459","119539","190078","210090","40576","27641",
"전국","남자","합계","2021 년","3583770","689803","227217","159896","185819","109163","123267","76866","21961","815745","120673","130030","169050","134959","130419","203981","229781","43672","11468",
"전국","남자","20세 미만","2020 년","35708","3820","2010","1320","1140","1312","3218","534","600","4300","2645","2187","2391","2305","1993","3353","1745","416","419",
"전국","남자","20세 미만","2021 년","25015","3168","1355","1017","976","989","2180","382","340","3326","1463","1379","1533","1908","1004","2200","1291","262","242",
"전국","남자","20~24세","2020 년","217262","34653","14443","9511","7924","7844","15326","4030","3239","31720","11569","11707","12134","12127","8094","17023","11959","1870","2089",
"전국","남자","20~24세","2021 년","217737","36388","14260","10333","8340","7943","14877","4110","2346","33858","10495","10604","12153","12487","7510","16525","12927","2034","547",
"전국","남자","25~29세","2020 년","432889","102632","26298","19060","19927","13513","19064","8908","3515","94811","13078","16912","19535","13850","10802","21629","21553","4047","3755",
"전국","남자","25~29세","2021 년","480989","113693","29930","21874","22279","15595","21130","10163","3559","106913","14029","18856","21026","15751","12571","23227","24402","4326","1665",
"전국","남자","30~34세","2020 년","394553","99841","21299","16381","19263","11524","14405","8326","3050","96165","9210","12697","18078","10729","9107","18042","20573","3572","2291",
"전국","남자","30~34세","2021 년","446721","113066","24923","18728","22181","12916","16044","9294","3492","111355","10072","14609","19636","12052","10451","19569","22357","4054","1922",
"전국","남자","35~39세","2020 년","320174","71346","17494","12821","17108","10510","9973","7325","2264","80790","7449","9785","14810","9217","8862","15351","19406","3753","1910",
"전국","남자","35~39세","2021 년","335937","75547","18191","13799","17841","11055","10572","7506","2395","86174","7718","10555","15644","9616","9049","15698","19375","3708","1494",
"전국","남자","40~44세","2020 년","272915","52043","15522","11495","15342","9100","8027","6670","1764","69702","7207","8408","12502","8939","8570","13647","18182","3771","2024",
"전국","남자","40~44세","2021 년","299797","56982","17175","12356","16997","9969","8954","7381","1951","77438","7782","9269","14015","9701","9528","15018","20005","4064","1212",
"전국","남자","45~49세","2020 년","299352","53166","17296","13482","17313","9581","8688","7110","1641","75002","8800","9545","13194","10618","10375","15431","20392","4628","3090",
"전국","남자","45~49세","2021 년","303753","52903","17288","13612","17422","10149","8933","7164","1741","77324","9029","9816","13648","11074","10906","16004","20968","4634","1138",
"전국","남자","50~54세","2020 년","300477","49658","18695","14190","17098","9140","8450","6992","1501","71490","10424","10343","13172","11203","11764","16892","20915","4818","3732",
"전국","남자","50~54세","2021 년","327702","53899","20065","15274","18603","10321","9528","7590","1697","79180","11307","11529","14995","12517","13174","18441","23308","5299","975",
"전국","남자","55~59세","2020 년","294220","47348","19339","13811","16938","7904","8075","6518","1273","66706","11544","10694","14026","11495","12345","17958","20819","4411","3016",
"전국","남자","55~59세","2021 년","309288","49307","19960","14571","17770","8671","8489","6907","1364","71068","12228","11506","14635","12289","13637","19110","22408","4689","679",
"전국","남자","60~64세","2020 년","270517","43138","20196","12320","15033","7178","7478","5948","1029","57667","11562","9903","12466","10942","12037","17278","19927","3755","2660",
"전국","남자","60~64세","2021 년","306578","48114","21929","14095","17097","8299","8480","6800","1175","66235","13451","11645","14877","12586","13965","19892","23070","4179","689",
"전국","남자","65~69세","2020 년","180497","29662","15096","8358","9362","4493","4773","3690","655","35722","7755","6613","8183","7639","8597","12147","13867","2330","1555",
"전국","남자","65~69세","2021 년","214596","35178","17467","9943","11382","5375","5829","4421","791","43385","9403","8088","9978","8984","10116","14590","16443","2760","463",
"전국","남자","70~74세","2020 년","119128","20555","9877","5363","5999","2961","3115","2244","385","23005","4898","4072","5714","5760","6300","8113","8821","1397","549",
"전국","남자","70~74세","2021 년","132061","22262","10949","6092","6525","3367","3513","2558","471","25203","5251","4508","6423","6447","7103","9485","10102","1575","227",
"전국","남자","75세 이상","2020 년","166706","26237","12466","7484","7527","4024","4267","2292","597","30659","7621","7099","9601","8635","10693","13214","11931","1808","551",
"전국","남자","75세 이상","2021 년","183596","29296","13725","8202","8406","4514","4738","2590","639","34286","8445","7666","10487","9547","11405","14222","13125","2088","215",
"전국","여자","합계","2020 년","3338956","706715","247914","164844","157091","98654","111066","57493","20007","640739","115479","113586","146724","135288","138228","204582","216780","39116","24650",
"전국","여자","합계","2021 년","3582018","767475","266509","177959","170309","107398","117562","62433","20724","703282","121975","120987","154846","145433","146740","214962","232367","42631","8426",
"전국","여자","20세 미만","2020 년","40494","5855","2439","1574","1432","1549","3461","559","659","5246","2414","2271","3126","2010","1827","3246","1981","399","446",
"전국","여자","20세 미만","2021 년","29037","4747","1635","1232","1098","1235","1991","464","350","4016","1539","1633","2253","1723","1032","2089","1456","297","247",
"전국","여자","20~24세","2020 년","275069","64901","19515","12198","9826","10647","17723","3534","3554","39413","10457","11695","16192","11789","7467","16880","12040","2317","4921",
"전국","여자","20~24세","2021 년","275108","68109","20344","12976","10260","10695","17306","3796","2848","41866","9824","10974","15537","11996","7360","15579","12537","2404","697",
"전국","여자","25~29세","2020 년","341691","109456","22335","14952","15129","11113","13557","5005","2671","66737","7867","9424","11992","9846","7732","13120","14517","3380","2858",
"전국","여자","25~29세","2021 년","389718","125693","26393","17375","17600","12985","15542","5799","2895","77854","8775","11000","13159","10972","8503","13776","16469","3862","1066",
"전국","여자","30~34세","2020 년","223848","77887","13554","8738","10124","6570","7614","3147","1825","45669","4732","5758","7497","5604","4352","7796","9127","2203","1651",
"전국","여자","30~34세","2021 년","258162","89483","16185","10316","11869","7452","8611","3621","2150","54845","5359","6639","8043","6477","4832","8416","10218","2620","1026",
"전국","여자","35~39세","2020 년","176943","55900","11063","7335","8431","5463","5643","2680","1321","38916","3872","4664","5536","4366","3628","6532","8109","2332","1152",
